text,gloss
[TSL] Repeat Sign 0035,[TSL] REPEAT SIGN 0035
[TSL] I like Sign 0036,[TSL] I LIKE SIGN 0036
[TSL] See Sign 0036,[TSL] SEE SIGN 0036
[TSL] Learn Sign 0037,[TSL] LEARN SIGN 0037
[TSL] Show me Sign 0037,[TSL] SHOW ME SIGN 0037
[TSL] I like Sign 0038,[TSL] I LIKE SIGN 0038
[TSL] See Sign 0038,[TSL] SEE SIGN 0038
[TSL] What is Sign 0038?,[TSL] WHAT SIGN 0038?
[TSL] This is Sign 0039,[TSL] THIS SIGN 0039
[TSL] Can you sign Sign 0039?,[TSL] CAN YOU SIGN SIGN 0039?
[TSL] Learn Sign 0040,[TSL] LEARN SIGN 0040
[TSL] I like Sign 0040,[TSL] I LIKE SIGN 0040
[TSL] See Sign 0041,[TSL] SEE SIGN 0041
[TSL] Translate Sign 0041,[TSL] TRANSLATE SIGN 0041
[TSL] Wait for Sign 0043,[TSL] WAIT FOR SIGN 0043
[TSL] Show me Sign 0043,[TSL] SHOW ME SIGN 0043
[TSL] Learn Sign 0045,[TSL] LEARN SIGN 0045
[TSL] Repeat Sign 0045,[TSL] REPEAT SIGN 0045
[TSL] Repeat Sign 0046,[TSL] REPEAT SIGN 0046
[TSL] Wait for Sign 0046,[TSL] WAIT FOR SIGN 0046
[TSL] This is Sign 0047,[TSL] THIS SIGN 0047
[TSL] Learn Sign 0048,[TSL] LEARN SIGN 0048
[TSL] I like Sign 0049,[TSL] I LIKE SIGN 0049
[TSL] Translate Sign 0049,[TSL] TRANSLATE SIGN 0049
[TSL] What is Sign 0050?,[TSL] WHAT SIGN 0050?
[TSL] What is Sign 0051?,[TSL] WHAT SIGN 0051?
[TSL] Show me Sign 0052,[TSL] SHOW ME SIGN 0052
[TSL] Wait for Sign 0053,[TSL] WAIT FOR SIGN 0053
[TSL] Learn Sign 0054,[TSL] LEARN SIGN 0054
[TSL] Wait for Sign 0054,[TSL] WAIT FOR SIGN 0054
[TSL] Translate Sign 0055,[TSL] TRANSLATE SIGN 0055
[TSL] Can you sign Sign 0056?,[TSL] CAN YOU SIGN SIGN 0056?
[TSL] This is Sign 0057,[TSL] THIS SIGN 0057
[TSL] Translate Sign 0057,[TSL] TRANSLATE SIGN 0057
[TSL] Can you sign Sign 0058?,[TSL] CAN YOU SIGN SIGN 0058?
[TSL] What is Sign 0059?,[TSL] WHAT SIGN 0059?
[TSL] Repeat Sign 0059,[TSL] REPEAT SIGN 0059
[TSL] Show me Sign 0061,[TSL] SHOW ME SIGN 0061
[TSL] Learn Sign 0062,[TSL] LEARN SIGN 0062
[TSL] Can you sign Sign 0064?,[TSL] CAN YOU SIGN SIGN 0064?
[TSL] Show me Sign 0064,[TSL] SHOW ME SIGN 0064
[TSL] Show me Sign 0065,[TSL] SHOW ME SIGN 0065
[TSL] Wait for Sign 0065,[TSL] WAIT FOR SIGN 0065
[TSL] I like Sign 0066,[TSL] I LIKE SIGN 0066
[TSL] This is Sign 0067,[TSL] THIS SIGN 0067
[TSL] Learn Sign 0068,[TSL] LEARN SIGN 0068
[TSL] Can you sign Sign 0069?,[TSL] CAN YOU SIGN SIGN 0069?
[TSL] Translate Sign 0069,[TSL] TRANSLATE SIGN 0069
[TSL] See Sign 0070,[TSL] SEE SIGN 0070
[TSL] What is Sign 0070?,[TSL] WHAT SIGN 0070?
[TSL] I like Sign 0071,[TSL] I LIKE SIGN 0071
[TSL] Can you sign Sign 0072?,[TSL] CAN YOU SIGN SIGN 0072?
[TSL] Learn Sign 0073,[TSL] LEARN SIGN 0073
[TSL] This is Sign 0074,[TSL] THIS SIGN 0074
[TSL] Wait for Sign 0075,[TSL] WAIT FOR SIGN 0075
[TSL] See Sign 0076,[TSL] SEE SIGN 0076
[TSL] Translate Sign 0077,[TSL] TRANSLATE SIGN 0077
[TSL] Wait for Sign 0078,[TSL] WAIT FOR SIGN 0078
[TSL] Repeat Sign 0078,[TSL] REPEAT SIGN 0078
[TSL] Repeat Sign 0079,[TSL] REPEAT SIGN 0079
[TSL] Can you sign Sign 0080?,[TSL] CAN YOU SIGN SIGN 0080?
[TSL] Show me Sign 0080,[TSL] SHOW ME SIGN 0080
[TSL] Can you sign Sign 0081?,[TSL] CAN YOU SIGN SIGN 0081?
[TSL] Wait for Sign 0081,[TSL] WAIT FOR SIGN 0081
[TSL] Learn Sign 0082,[TSL] LEARN SIGN 0082
[TSL] See Sign 0082,[TSL] SEE SIGN 0082
[TSL] Translate Sign 0083,[TSL] TRANSLATE SIGN 0083
[TSL] Show me Sign 0084,[TSL] SHOW ME SIGN 0084
[TSL] I like Sign 0086,[TSL] I LIKE SIGN 0086
[TSL] Wait for Sign 0086,[TSL] WAIT FOR SIGN 0086
[TSL] What is Sign 0088?,[TSL] WHAT SIGN 0088?
[TSL] Learn Sign 0088,[TSL] LEARN SIGN 0088
[TSL] Show me Sign 0089,[TSL] SHOW ME SIGN 0089
[TSL] Translate Sign 0090,[TSL] TRANSLATE SIGN 0090
[TSL] Wait for Sign 0091,[TSL] WAIT FOR SIGN 0091
[TSL] This is Sign 0091,[TSL] THIS SIGN 0091
[TSL] This is Sign 0092,[TSL] THIS SIGN 0092
[TSL] Can you sign Sign 0092?,[TSL] CAN YOU SIGN SIGN 0092?
[TSL] See Sign 0092,[TSL] SEE SIGN 0092
[TSL] This is Sign 0094,[TSL] THIS SIGN 0094
[TSL] Repeat Sign 0095,[TSL] REPEAT SIGN 0095
[TSL] What is Sign 0095?,[TSL] WHAT SIGN 0095?
[TSL] I like Sign 0095,[TSL] I LIKE SIGN 0095
[TSL] Can you sign Sign 0096?,[TSL] CAN YOU SIGN SIGN 0096?
[TSL] Learn Sign 0096,[TSL] LEARN SIGN 0096
[TSL] Repeat Sign 0097,[TSL] REPEAT SIGN 0097
[TSL] Repeat Sign 0098,[TSL] REPEAT SIGN 0098
[TSL] Translate Sign 0099,[TSL] TRANSLATE SIGN 0099
[TSL] Translate Sign 0000,[TSL] TRANSLATE SIGN 0000
[TSL] What is Sign 0000?,[TSL] WHAT SIGN 0000?
[TSL] See Sign 0001,[TSL] SEE SIGN 0001
[TSL] Show me Sign 0002,[TSL] SHOW ME SIGN 0002
[TSL] Wait for Sign 0004,[TSL] WAIT FOR SIGN 0004
[TSL] What is Sign 0006?,[TSL] WHAT SIGN 0006?
[TSL] This is Sign 0007,[TSL] THIS SIGN 0007
[TSL] Learn Sign 0007,[TSL] LEARN SIGN 0007
[TSL] Wait for Sign 0008,[TSL] WAIT FOR SIGN 0008
[TSL] Repeat Sign 0009,[TSL] REPEAT SIGN 0009
[TSL] What is Sign 0009?,[TSL] WHAT SIGN 0009?
[TSL] See Sign 0011,[TSL] SEE SIGN 0011
[TSL] I like Sign 0011,[TSL] I LIKE SIGN 0011
[TSL] See Sign 0012,[TSL] SEE SIGN 0012
[TSL] Learn Sign 0012,[TSL] LEARN SIGN 0012
[TSL] Wait for Sign 0015,[TSL] WAIT FOR SIGN 0015
[TSL] See Sign 0016,[TSL] SEE SIGN 0016
[TSL] Can you sign Sign 0017?,[TSL] CAN YOU SIGN SIGN 0017?
[TSL] Can you sign Sign 0020?,[TSL] CAN YOU SIGN SIGN 0020?
[TSL] Translate Sign 0020,[TSL] TRANSLATE SIGN 0020
[TSL] Show me Sign 0020,[TSL] SHOW ME SIGN 0020
[TSL] Repeat Sign 0021,[TSL] REPEAT SIGN 0021
[TSL] See Sign 0022,[TSL] SEE SIGN 0022
[TSL] Repeat Sign 0025,[TSL] REPEAT SIGN 0025
[TSL] Translate Sign 0025,[TSL] TRANSLATE SIGN 0025
[TSL] See Sign 0026,[TSL] SEE SIGN 0026
[TSL] I like Sign 0027,[TSL] I LIKE SIGN 0027
[TSL] Repeat Sign 0029,[TSL] REPEAT SIGN 0029
[TSL] What is Sign 0029?,[TSL] WHAT SIGN 0029?
[TSL] Can you sign Sign 0030?,[TSL] CAN YOU SIGN SIGN 0030?
[TSL] See Sign 0033,[TSL] SEE SIGN 0033
[TSL] Learn Sign 0033,[TSL] LEARN SIGN 0033
[TSL] See Sign 0034,[TSL] SEE SIGN 0034
[TSL] Wait for Sign 0034,[TSL] WAIT FOR SIGN 0034
[TSL] Translate Sign 0035,[TSL] TRANSLATE SIGN 0035
[TSL] Show me Sign 0036,[TSL] SHOW ME SIGN 0036
[TSL] Repeat Sign 0037,[TSL] REPEAT SIGN 0037
[TSL] Repeat Sign 0039,[TSL] REPEAT SIGN 0039
[TSL] See Sign 0039,[TSL] SEE SIGN 0039
[TSL] Can you sign Sign 0040?,[TSL] CAN YOU SIGN SIGN 0040?
[TSL] Repeat Sign 0040,[TSL] REPEAT SIGN 0040
[TSL] Can you sign Sign 0041?,[TSL] CAN YOU SIGN SIGN 0041?
[TSL] Repeat Sign 0041,[TSL] REPEAT SIGN 0041
[TSL] I like Sign 0042,[TSL] I LIKE SIGN 0042
[TSL] See Sign 0044,[TSL] SEE SIGN 0044
[TSL] This is Sign 0044,[TSL] THIS SIGN 0044
[TSL] What is Sign 0046?,[TSL] WHAT SIGN 0046?
[TSL] This is Sign 0046,[TSL] THIS SIGN 0046
[TSL] Repeat Sign 0047,[TSL] REPEAT SIGN 0047
[TSL] Repeat Sign 0048,[TSL] REPEAT SIGN 0048
[TSL] Show me Sign 0049,[TSL] SHOW ME SIGN 0049
[TSL] Repeat Sign 0049,[TSL] REPEAT SIGN 0049
[TSL] Can you sign Sign 0050?,[TSL] CAN YOU SIGN SIGN 0050?
[TSL] Show me Sign 0050,[TSL] SHOW ME SIGN 0050
[TSL] I like Sign 0052,[TSL] I LIKE SIGN 0052
[TSL] Repeat Sign 0053,[TSL] REPEAT SIGN 0053
[TSL] See Sign 0053,[TSL] SEE SIGN 0053
[TSL] Show me Sign 0055,[TSL] SHOW ME SIGN 0055
[TSL] See Sign 0055,[TSL] SEE SIGN 0055
[TSL] Show me Sign 0057,[TSL] SHOW ME SIGN 0057
[TSL] Learn Sign 0057,[TSL] LEARN SIGN 0057
[TSL] This is Sign 0060,[TSL] THIS SIGN 0060
[TSL] See Sign 0061,[TSL] SEE SIGN 0061
[TSL] What is Sign 0062?,[TSL] WHAT SIGN 0062?
[TSL] Translate Sign 0062,[TSL] TRANSLATE SIGN 0062
[TSL] Wait for Sign 0064,[TSL] WAIT FOR SIGN 0064
[TSL] This is Sign 0065,[TSL] THIS SIGN 0065
[TSL] What is Sign 0067?,[TSL] WHAT SIGN 0067?
[TSL] What is Sign 0068?,[TSL] WHAT SIGN 0068?
[TSL] Can you sign Sign 0068?,[TSL] CAN YOU SIGN SIGN 0068?
[TSL] Repeat Sign 0069,[TSL] REPEAT SIGN 0069
[TSL] Translate Sign 0070,[TSL] TRANSLATE SIGN 0070
[TSL] Learn Sign 0070,[TSL] LEARN SIGN 0070
[TSL] Wait for Sign 0072,[TSL] WAIT FOR SIGN 0072
[TSL] Wait for Sign 0073,[TSL] WAIT FOR SIGN 0073
[TSL] Repeat Sign 0074,[TSL] REPEAT SIGN 0074
[TSL] Can you sign Sign 0075?,[TSL] CAN YOU SIGN SIGN 0075?
[TSL] What is Sign 0076?,[TSL] WHAT SIGN 0076?
[TSL] Learn Sign 0077,[TSL] LEARN SIGN 0077
[TSL] I like Sign 0080,[TSL] I LIKE SIGN 0080
[TSL] I like Sign 0082,[TSL] I LIKE SIGN 0082
[TSL] Learn Sign 0083,[TSL] LEARN SIGN 0083
[TSL] Can you sign Sign 0084?,[TSL] CAN YOU SIGN SIGN 0084?
[TSL] What is Sign 0084?,[TSL] WHAT SIGN 0084?
[TSL] Wait for Sign 0085,[TSL] WAIT FOR SIGN 0085
[TSL] Can you sign Sign 0086?,[TSL] CAN YOU SIGN SIGN 0086?
[TSL] Translate Sign 0087,[TSL] TRANSLATE SIGN 0087
[TSL] See Sign 0087,[TSL] SEE SIGN 0087
[TSL] Repeat Sign 0088,[TSL] REPEAT SIGN 0088
[TSL] Wait for Sign 0089,[TSL] WAIT FOR SIGN 0089
[TSL] Learn Sign 0091,[TSL] LEARN SIGN 0091
[TSL] Translate Sign 0092,[TSL] TRANSLATE SIGN 0092
[TSL] Translate Sign 0093,[TSL] TRANSLATE SIGN 0093
[TSL] This is Sign 0096,[TSL] THIS SIGN 0096
[TSL] Translate Sign 0096,[TSL] TRANSLATE SIGN 0096
[TSL] Learn Sign 0097,[TSL] LEARN SIGN 0097
[TSL] Can you sign Sign 0098?,[TSL] CAN YOU SIGN SIGN 0098?
[TSL] This is Sign 0099,[TSL] THIS SIGN 0099
[TSL] Show me Sign 0000,[TSL] SHOW ME SIGN 0000
[TSL] I like Sign 0003,[TSL] I LIKE SIGN 0003
[TSL] Repeat Sign 0004,[TSL] REPEAT SIGN 0004
[TSL] Translate Sign 0007,[TSL] TRANSLATE SIGN 0007
[TSL] I like Sign 0009,[TSL] I LIKE SIGN 0009
[TSL] Can you sign Sign 0010?,[TSL] CAN YOU SIGN SIGN 0010?
[TSL] Learn Sign 0014,[TSL] LEARN SIGN 0014
[TSL] Can you sign Sign 0014?,[TSL] CAN YOU SIGN SIGN 0014?
[TSL] Repeat Sign 0017,[TSL] REPEAT SIGN 0017
[TSL] Translate Sign 0017,[TSL] TRANSLATE SIGN 0017
[TSL] Repeat Sign 0018,[TSL] REPEAT SIGN 0018
[TSL] Show me Sign 0019,[TSL] SHOW ME SIGN 0019
[TSL] See Sign 0025,[TSL] SEE SIGN 0025
[TSL] Repeat Sign 0028,[TSL] REPEAT SIGN 0028
[TSL] Wait for Sign 0029,[TSL] WAIT FOR SIGN 0029
[TSL] This is Sign 0030,[TSL] THIS SIGN 0030
[TSL] Show me Sign 0031,[TSL] SHOW ME SIGN 0031
[TSL] Can you sign Sign 0032?,[TSL] CAN YOU SIGN SIGN 0032?
[TSL] Repeat Sign 0033,[TSL] REPEAT SIGN 0033
[TSL] This is Sign 0033,[TSL] THIS SIGN 0033
[TSL] What is Sign 0033?,[TSL] WHAT SIGN 0033?
[TSL] What is Sign 0037?,[TSL] WHAT SIGN 0037?
[TSL] Translate Sign 0042,[TSL] TRANSLATE SIGN 0042
[TSL] This is Sign 0042,[TSL] THIS SIGN 0042
[TSL] I like Sign 0043,[TSL] I LIKE SIGN 0043
[TSL] This is Sign 0043,[TSL] THIS SIGN 0043
[TSL] What is Sign 0043?,[TSL] WHAT SIGN 0043?
[TSL] Wait for Sign 0044,[TSL] WAIT FOR SIGN 0044
[TSL] I like Sign 0045,[TSL] I LIKE SIGN 0045
[TSL] Translate Sign 0045,[TSL] TRANSLATE SIGN 0045
[TSL] Wait for Sign 0047,[TSL] WAIT FOR SIGN 0047
[TSL] Learn Sign 0051,[TSL] LEARN SIGN 0051
[TSL] This is Sign 0053,[TSL] THIS SIGN 0053
[TSL] Repeat Sign 0056,[TSL] REPEAT SIGN 0056
[TSL] See Sign 0060,[TSL] SEE SIGN 0060
[TSL] I like Sign 0061,[TSL] I LIKE SIGN 0061
[TSL] Show me Sign 0063,[TSL] SHOW ME SIGN 0063
[TSL] See Sign 0064,[TSL] SEE SIGN 0064
[TSL] Translate Sign 0064,[TSL] TRANSLATE SIGN 0064
[TSL] Repeat Sign 0067,[TSL] REPEAT SIGN 0067
[TSL] Show me Sign 0069,[TSL] SHOW ME SIGN 0069
[TSL] This is Sign 0071,[TSL] THIS SIGN 0071
[TSL] Show me Sign 0072,[TSL] SHOW ME SIGN 0072
[TSL] What is Sign 0072?,[TSL] WHAT SIGN 0072?
[TSL] Translate Sign 0073,[TSL] TRANSLATE SIGN 0073
[TSL] I like Sign 0073,[TSL] I LIKE SIGN 0073
[TSL] What is Sign 0075?,[TSL] WHAT SIGN 0075?
[TSL] I like Sign 0076,[TSL] I LIKE SIGN 0076
[TSL] Show me Sign 0077,[TSL] SHOW ME SIGN 0077
[TSL] Learn Sign 0078,[TSL] LEARN SIGN 0078
[TSL] Repeat Sign 0080,[TSL] REPEAT SIGN 0080
[TSL] Learn Sign 0081,[TSL] LEARN SIGN 0081
[TSL] I like Sign 0085,[TSL] I LIKE SIGN 0085
[TSL] What is Sign 0087?,[TSL] WHAT SIGN 0087?
[TSL] This is Sign 0087,[TSL] THIS SIGN 0087
[TSL] What is Sign 0091?,[TSL] WHAT SIGN 0091?
[TSL] I like Sign 0093,[TSL] I LIKE SIGN 0093
[TSL] This is Sign 0093,[TSL] THIS SIGN 0093
[TSL] Show me Sign 0094,[TSL] SHOW ME SIGN 0094
[TSL] Show me Sign 0098,[TSL] SHOW ME SIGN 0098
[TSL] Learn Sign 0098,[TSL] LEARN SIGN 0098
[TSL] See Sign 0099,[TSL] SEE SIGN 0099
[TSL] Learn Sign 0003,[TSL] LEARN SIGN 0003
[TSL] This is Sign 0008,[TSL] THIS SIGN 0008
[TSL] Repeat Sign 0008,[TSL] REPEAT SIGN 0008
[TSL] Translate Sign 0009,[TSL] TRANSLATE SIGN 0009
[TSL] See Sign 0014,[TSL] SEE SIGN 0014
[TSL] This is Sign 0016,[TSL] THIS SIGN 0016
[TSL] What is Sign 0017?,[TSL] WHAT SIGN 0017?
[TSL] I like Sign 0017,[TSL] I LIKE SIGN 0017
[TSL] This is Sign 0020,[TSL] THIS SIGN 0020
[TSL] Show me Sign 0023,[TSL] SHOW ME SIGN 0023
[TSL] I like Sign 0024,[TSL] I LIKE SIGN 0024
[TSL] See Sign 0035,[TSL] SEE SIGN 0035
[TSL] Learn Sign 0038,[TSL] LEARN SIGN 0038
[TSL] Translate Sign 0043,[TSL] TRANSLATE SIGN 0043
[TSL] Repeat Sign 0044,[TSL] REPEAT SIGN 0044
[TSL] Learn Sign 0050,[TSL] LEARN SIGN 0050
[TSL] See Sign 0050,[TSL] SEE SIGN 0050
[TSL] Can you sign Sign 0051?,[TSL] CAN YOU SIGN SIGN 0051?
[TSL] Wait for Sign 0051,[TSL] WAIT FOR SIGN 0051
[TSL] Repeat Sign 0055,[TSL] REPEAT SIGN 0055
[TSL] Translate Sign 0056,[TSL] TRANSLATE SIGN 0056
[TSL] Wait for Sign 0058,[TSL] WAIT FOR SIGN 0058
[TSL] Translate Sign 0058,[TSL] TRANSLATE SIGN 0058
[TSL] Repeat Sign 0060,[TSL] REPEAT SIGN 0060
[TSL] See Sign 0066,[TSL] SEE SIGN 0066
[TSL] This is Sign 0070,[TSL] THIS SIGN 0070
[TSL] Wait for Sign 0077,[TSL] WAIT FOR SIGN 0077
[TSL] What is Sign 0078?,[TSL] WHAT SIGN 0078?
[TSL] Learn Sign 0084,[TSL] LEARN SIGN 0084
[TSL] See Sign 0085,[TSL] SEE SIGN 0085
[TSL] I like Sign 0088,[TSL] I LIKE SIGN 0088
[TSL] Repeat Sign 0090,[TSL] REPEAT SIGN 0090
[TSL] This is Sign 0090,[TSL] THIS SIGN 0090
[TSL] Repeat Sign 0093,[TSL] REPEAT SIGN 0093
[TSL] Translate Sign 0094,[TSL] TRANSLATE SIGN 0094
[TSL] See Sign 0096,[TSL] SEE SIGN 0096
[TSL] See Sign 0097,[TSL] SEE SIGN 0097
[TSL] Wait for Sign 0099,[TSL] WAIT FOR SIGN 0099
[TSL] Can you sign Sign 0000?,[TSL] CAN YOU SIGN SIGN 0000?
[TSL] I like Sign 0005,[TSL] I LIKE SIGN 0005
[TSL] What is Sign 0008?,[TSL] WHAT SIGN 0008?
[TSL] Learn Sign 0010,[TSL] LEARN SIGN 0010
[TSL] Learn Sign 0013,[TSL] LEARN SIGN 0013
[TSL] I like Sign 0013,[TSL] I LIKE SIGN 0013
[TSL] Can you sign Sign 0013?,[TSL] CAN YOU SIGN SIGN 0013?
[TSL] Repeat Sign 0014,[TSL] REPEAT SIGN 0014
[TSL] Repeat Sign 0020,[TSL] REPEAT SIGN 0020
[TSL] Show me Sign 0022,[TSL] SHOW ME SIGN 0022
[TSL] Wait for Sign 0023,[TSL] WAIT FOR SIGN 0023
[TSL] I like Sign 0023,[TSL] I LIKE SIGN 0023
[TSL] Learn Sign 0026,[TSL] LEARN SIGN 0026
[TSL] Translate Sign 0031,[TSL] TRANSLATE SIGN 0031
[TSL] Can you sign Sign 0036?,[TSL] CAN YOU SIGN SIGN 0036?
[TSL] Can you sign Sign 0042?,[TSL] CAN YOU SIGN SIGN 0042?
[TSL] Show me Sign 0047,[TSL] SHOW ME SIGN 0047
[TSL] Translate Sign 0052,[TSL] TRANSLATE SIGN 0052
[TSL] Learn Sign 0053,[TSL] LEARN SIGN 0053
[TSL] Can you sign Sign 0057?,[TSL] CAN YOU SIGN SIGN 0057?
[TSL] I like Sign 0067,[TSL] I LIKE SIGN 0067
[TSL] Repeat Sign 0068,[TSL] REPEAT SIGN 0068
[TSL] What is Sign 0071?,[TSL] WHAT SIGN 0071?
[TSL] Can you sign Sign 0074?,[TSL] CAN YOU SIGN SIGN 0074?
[TSL] This is Sign 0075,[TSL] THIS SIGN 0075
[TSL] Can you sign Sign 0078?,[TSL] CAN YOU SIGN SIGN 0078?
[TSL] I like Sign 0079,[TSL] I LIKE SIGN 0079
[TSL] Wait for Sign 0080,[TSL] WAIT FOR SIGN 0080
[TSL] Show me Sign 0085,[TSL] SHOW ME SIGN 0085
[TSL] Translate Sign 0089,[TSL] TRANSLATE SIGN 0089
[TSL] Can you sign Sign 0090?,[TSL] CAN YOU SIGN SIGN 0090?
[TSL] Repeat Sign 0001,[TSL] REPEAT SIGN 0001
[TSL] Can you sign Sign 0002?,[TSL] CAN YOU SIGN SIGN 0002?
[TSL] What is Sign 0005?,[TSL] WHAT SIGN 0005?
[TSL] See Sign 0006,[TSL] SEE SIGN 0006
[TSL] What is Sign 0010?,[TSL] WHAT SIGN 0010?
[TSL] I like Sign 0012,[TSL] I LIKE SIGN 0012
[TSL] See Sign 0018,[TSL] SEE SIGN 0018
[TSL] Translate Sign 0019,[TSL] TRANSLATE SIGN 0019
[TSL] See Sign 0023,[TSL] SEE SIGN 0023
[TSL] Wait for Sign 0024,[TSL] WAIT FOR SIGN 0024
[TSL] Wait for Sign 0032,[TSL] WAIT FOR SIGN 0032
[TSL] This is Sign 0050,[TSL] THIS SIGN 0050
[TSL] I like Sign 0055,[TSL] I LIKE SIGN 0055
[TSL] Wait for Sign 0057,[TSL] WAIT FOR SIGN 0057
[TSL] Repeat Sign 0058,[TSL] REPEAT SIGN 0058
[TSL] Learn Sign 0058,[TSL] LEARN SIGN 0058
[TSL] Can you sign Sign 0061?,[TSL] CAN YOU SIGN SIGN 0061?
[TSL] Repeat Sign 0063,[TSL] REPEAT SIGN 0063
[TSL] Learn Sign 0065,[TSL] LEARN SIGN 0065
[TSL] Repeat Sign 0065,[TSL] REPEAT SIGN 0065
[TSL] Learn Sign 0071,[TSL] LEARN SIGN 0071
[TSL] Wait for Sign 0074,[TSL] WAIT FOR SIGN 0074
[TSL] I like Sign 0074,[TSL] I LIKE SIGN 0074
[TSL] See Sign 0079,[TSL] SEE SIGN 0079
[TSL] What is Sign 0080?,[TSL] WHAT SIGN 0080?
[TSL] What is Sign 0086?,[TSL] WHAT SIGN 0086?
[TSL] Learn Sign 0095,[TSL] LEARN SIGN 0095
[TSL] What is Sign 0097?,[TSL] WHAT SIGN 0097?
[TSL] Learn Sign 0099,[TSL] LEARN SIGN 0099
[TSL] Show me Sign 0009,[TSL] SHOW ME SIGN 0009
[TSL] I like Sign 0022,[TSL] I LIKE SIGN 0022
[TSL] Wait for Sign 0040,[TSL] WAIT FOR SIGN 0040
[TSL] See Sign 0056,[TSL] SEE SIGN 0056
[TSL] Wait for Sign 0059,[TSL] WAIT FOR SIGN 0059
[TSL] Translate Sign 0060,[TSL] TRANSLATE SIGN 0060
[TSL] This is Sign 0061,[TSL] THIS SIGN 0061
[TSL] This is Sign 0066,[TSL] THIS SIGN 0066
[TSL] I like Sign 0068,[TSL] I LIKE SIGN 0068
[TSL] See Sign 0083,[TSL] SEE SIGN 0083
[TSL] Show me Sign 0086,[TSL] SHOW ME SIGN 0086
[TSL] Can you sign Sign 0089?,[TSL] CAN YOU SIGN SIGN 0089?
[TSL] Translate Sign 0091,[TSL] TRANSLATE SIGN 0091
[TSL] Learn Sign 0024,[TSL] LEARN SIGN 0024
[TSL] Can you sign Sign 0028?,[TSL] CAN YOU SIGN SIGN 0028?
[TSL] See Sign 0028,[TSL] SEE SIGN 0028
[TSL] Wait for Sign 0035,[TSL] WAIT FOR SIGN 0035
[TSL] What is Sign 0045?,[TSL] WHAT SIGN 0045?
[TSL] See Sign 0048,[TSL] SEE SIGN 0048
[TSL] Show me Sign 0060,[TSL] SHOW ME SIGN 0060
[TSL] Repeat Sign 0072,[TSL] REPEAT SIGN 0072
[TSL] See Sign 0084,[TSL] SEE SIGN 0084
[TSL] See Sign 0005,[TSL] SEE SIGN 0005
[TSL] What is Sign 0021?,[TSL] WHAT SIGN 0021?
[TSL] This is Sign 0024,[TSL] THIS SIGN 0024
[TSL] This is Sign 0031,[TSL] THIS SIGN 0031
[TSL] Wait for Sign 0045,[TSL] WAIT FOR SIGN 0045
[TSL] Learn Sign 0047,[TSL] LEARN SIGN 0047
[TSL] Translate Sign 0048,[TSL] TRANSLATE SIGN 0048
[TSL] Wait for Sign 0062,[TSL] WAIT FOR SIGN 0062
[TSL] What is Sign 0063?,[TSL] WHAT SIGN 0063?
[TSL] See Sign 0069,[TSL] SEE SIGN 0069
[TSL] Can you sign Sign 0083?,[TSL] CAN YOU SIGN SIGN 0083?
[TSL] I like Sign 0090,[TSL] I LIKE SIGN 0090
[TSL] Learn Sign 0022,[TSL] LEARN SIGN 0022
[TSL] Translate Sign 0081,[TSL] TRANSLATE SIGN 0081
[TSL] Show me Sign 0082,[TSL] SHOW ME SIGN 0082
[TSL] This is Sign 0015,[TSL] THIS SIGN 0015
[TSL] Show me Sign 0054,[TSL] SHOW ME SIGN 0054
[TSL] I like Sign 0056,[TSL] I LIKE SIGN 0056
[TSL] Show me Sign 0096,[TSL] SHOW ME SIGN 0096
[TSL] I like Sign 0028,[TSL] I LIKE SIGN 0028
[TSL] Show me Sign 0048,[TSL] SHOW ME SIGN 0048
[TSL] Repeat Sign 0003,[TSL] REPEAT SIGN 0003
[TSL] Wait for Sign 0012,[TSL] WAIT FOR SIGN 0012
[TSL] Learn Sign 0032,[TSL] LEARN SIGN 0032
[TSL] Can you sign Sign 0087?,[TSL] CAN YOU SIGN SIGN 0087?
[ISL] I like Sign 0000,[ISL] I LIKE SIGN 0000
[ISL] This is Sign 0000,[ISL] THIS SIGN 0000
[ISL] Wait for Sign 0001,[ISL] WAIT FOR SIGN 0001
[ISL] Repeat Sign 0001,[ISL] REPEAT SIGN 0001
[ISL] Show me Sign 0001,[ISL] SHOW ME SIGN 0001
[ISL] See Sign 0002,[ISL] SEE SIGN 0002
[ISL] What is Sign 0002?,[ISL] WHAT SIGN 0002?
[ISL] Learn Sign 0002,[ISL] LEARN SIGN 0002
[ISL] Wait for Sign 0003,[ISL] WAIT FOR SIGN 0003
[ISL] Repeat Sign 0003,[ISL] REPEAT SIGN 0003
[ISL] Show me Sign 0003,[ISL] SHOW ME SIGN 0003
[ISL] Show me Sign 0004,[ISL] SHOW ME SIGN 0004
[ISL] See Sign 0004,[ISL] SEE SIGN 0004
[ISL] Translate Sign 0004,[ISL] TRANSLATE SIGN 0004
[ISL] Learn Sign 0005,[ISL] LEARN SIGN 0005
[ISL] What is Sign 0005?,[ISL] WHAT SIGN 0005?
[ISL] Show me Sign 0005,[ISL] SHOW ME SIGN 0005
[ISL] Learn Sign 0006,[ISL] LEARN SIGN 0006
[ISL] Repeat Sign 0006,[ISL] REPEAT SIGN 0006
[ISL] Show me Sign 0006,[ISL] SHOW ME SIGN 0006
[ISL] Wait for Sign 0007,[ISL] WAIT FOR SIGN 0007
[ISL] What is Sign 0007?,[ISL] WHAT SIGN 0007?
